TIMESTAMP	NUMTWEETS
1350858600	11357
1350858900	11359
1350859200	11198
1350859500	11083
1350859800	11162
1350860100	11199
1350860400	11250
1350860700	10983
1350861000	10934
1350861300	11444
1350861600	11461
1350861900	11357
1350862200	11599
1350862500	11017
1350862800	11073
1350863100	10951
1350863400	11650
1350863700	11077
1350864000	11313
1350864300	10940
1350864600	10957
1350864900	10836
1350865200	11018
1350865500	11547
1350865800	11354
1350866100	11304
1350866400	11277
1350866700	11239
1350867000	11478
1350867300	11701
1350867600	12430
1350867900	11562
1350868200	11779
1350868500	11827
1350868800	11876
1350869100	12244
1350869400	12347
1350869700	12313
1350870000	12141
1350870300	12619
1350870600	12222
1350870900	12100
1350871200	12758
1350871500	11954
1350871800	12003
1350872100	11793
1350872400	12104
1350872700	11933
1350873000	11915
1350873300	12024
1350873600	11897
1350873900	11729
1350874200	11541
1350874500	11275
1350874800	11993
1350875100	11229
1350875400	11364
1350875700	11394
1350876000	11190
1350876300	10967
1350876600	11206
1350876900	10654
1350877200	10738
1350877500	10342
1350877800	10150
1350878100	10427
1350878400	10381
1350878700	9840
1350879000	9736
1350879300	9367
1350879600	9144
1350879900	2892
1350909000	5468
1350909300	12102
1350909600	11842
1350909900	10589
1350910200	11937
1350910500	11892
1350910800	12568
1350911100	12361
1350911400	12199
1350911700	12378
1350912000	12493
1350912300	12817
1350912600	13241
1350912900	13635
1350913200	13399
1350913500	13082
1350913800	13178
1350914100	13212
1350914400	13558
1350914700	13329
1350915000	13277
1350915300	13522
1350915600	13370
1350915900	13723
1350916200	13378
1350916500	13371
1350916800	13429
1350917100	13566
1350917400	13496
1350917700	13432
1350918000	14346
1350918300	13559
1350918600	13168
1350918900	13072
1350919200	13218
1350919500	12898
1350919800	13237
1350920100	12644
1350920400	12473
1350920700	12585
1350921000	12397
1350921300	12378
1350921600	12509
1350921900	12133
1350922200	11774
1350922500	11840
1350922800	11774
1350923100	11451
1350923400	11517
1350923700	11445
1350924000	11231
1350924300	11186
1350924600	10998
1350924900	11009
1350925200	11319
1350925500	10958
1350925800	10599
1350926100	10625
1350926400	10446
1350926700	10446
1350927000	10551
1350927300	10208
1350927600	10057
1350927900	10042
1350928200	10024
1350928500	10058
1350928800	10550
1350929100	10037
1350929400	9956
1350929700	10025
1350930000	10093
1350930300	10188
1350930600	10321
1350930900	10140
1350931200	9877
1350931500	10062
1350931800	10295
1350932100	10331
1350932400	10840
1350932700	10282
1350933000	10508
1350933300	10396
1350933600	10614
1350933900	10509
1350934200	10636
1350934500	10678
1350934800	10601
1350935100	10660
1350935400	10393
1350935700	10805
1350936000	11364
1350936300	11003
1350936600	11032
1350936900	11027
1350937200	11049
1350937500	12919
1350937800	13442
1350938100	13478
1350938400	12123
1350938700	11907
1350939000	11418
1350939300	11411
1350939600	11960
1350939900	11370
1350940200	11233
1350940500	11410
1350940800	11202
1350941100	11214
1350941400	11632
1350941700	11609
1350942000	11457
1350942300	11298
1350942600	11592
1350942900	11744
1350943200	12765
1350943500	11947
1350943800	12033
1350944100	11764
1350944400	11886
1350944700	11705
1350945000	11764
1350945300	12140
1350945600	12009
1350945900	12046
1350946200	12149
1350946500	12016
1350946800	12459
1350947100	11856
1350947400	12176
1350947700	11947
1350948000	11928
1350948300	12115
1350948600	12152
1350948900	11872
1350949200	11933
1350949500	12038
1350949800	11689
1350950100	11515
1350950400	12425
1350950700	11928
1350951000	12076
1350951300	11813
1350951600	12241
1350951900	12038
1350952200	12490
1350952500	12423
1350952800	12693
1350953100	12423
1350953400	12359
1350953700	12656
1350954000	13857
1350954300	13852
1350954600	14841
1350954900	14534
1350955200	14493
1350955500	14459
1350955800	15191
1350956100	15337
1350956400	15791
1350956700	15451
1350957000	15032
1350957300	15460
1350957600	15599
1350957900	14652
1350958200	15021
1350958500	14573
1350958800	14757
1350959100	15368
1350959400	14986
1350959700	14055
1350960000	13340
1350960300	12758
1350960600	12811
1350960900	12421
1350961200	12888
1350961500	11886
1350961800	11801
1350962100	11511
1350962400	11556
1350962700	11516
1350963000	11595
1350963300	11339
1350963600	11337
1350963900	10956
1350964200	10861
1350964500	10387
1350964800	10402
1350965100	9656
1350965400	9478
1350965700	9226
1350966000	9203
1350966300	9088
1350966600	8751
1350966900	8610
1350967200	8113
1350967500	8194
1350967800	8029
1350968100	7860
1350968400	8139
1350968700	7838
1350969000	7626
1350969300	7275
1350969600	7435
1350969900	5307
